 Site Name , Ground Mounted/ Roof top ,, State ," DC Capacity
MWp "," AC Capacity
MW ",Expected Generation,Guaranteed Generation (kWh),Inverter Generation (kWh),ABT Meter Generation at Plant End (kWh),Generation difference (%),DC-CUF,AC-CUF,Pvsyst Irradiation (kWh/m2),Actual Irradiation (kWh/m2),Radiation Difference (%),PR,Plant Availability,Grid Availability,Losses due to Grid Unavailability,Losses due to Plant Unavailability,Remarks,,,,,MTD
Kamdhenu Yarn,GM,26-Apr,Gujarat,2.48,1.9,398242,319800,377407,370290,18.01%,24.39%,31.83%,192,179,-6.90%,85.30%,100.00%,100.00%,0,0,,,,,Kamdhenu Yarn,Blue Jet
Kikani Exports,GM,26-Apr,Gujarat,9,7.67,1200862,1139762,1396504,1370946,22.53%,24.88%,29.18%,169,189,12.20%,82.10%,100.00%,100.00%,729,0,,,,,Kikani Exports,EESL Narayan Doho
Linde Engineering,GM,26-Apr,Gujarat,1.5,1.2,210825,208550,198290,196860,-4.92%,22.11%,27.54%,169,158,-6.40%,83.80%,100.00%,99.20%,1988,0,,,,,Linde Engineering,EESL Limbala Dau
Alembic Pharma Phase 1,GM,26-Apr,Gujarat,11.99,9.6,1616150,1546475,1681095,1641780,8.70%,23.36%,29.19%,163,172,5.90%,81.30%,100.00%,99.90%,0,1279,,,,,Alembic Pharma Phase 1,EESL Potra
Alembic Pharma Phase 2,GM,26-Apr,Gujarat,12.01,9.68,1895825,1629200,1726074,1688100,5.95%,23.95%,29.72%,185,172,-6.60%,83.40%,99.80%,99.90%,1283,3219,,,,,Alembic Pharma Phase 2,"IGCL, Bharuch"
Mark Alloys,GM,26-Apr,Gujarat,3.09,2.64,493536,441600,500254,490650,13.28%,28.15%,32.90%,217,207,-4.70%,78.50%,99.90%,96.30%,20799,253,,,,,Mark Alloys,Narayan Spinning - 1
Ujjaval Alloys,GM,26-Apr,Gujarat,4.81,3.96,838872,720360,778046,760850,8.01%,28.11%,34.11%,217,207,-4.50%,78.50%,99.20%,96.60%,34808,3402,,,,,Ujjaval Alloys,Narayan Spinning - 2
Diamond stones,GM,26-Apr,Gujarat,1.35,1.1,223824,193104,216531,214125,12.13%,27.78%,34.17%,217,206,-5.20%,77.90%,100.00%,95.90%,10435,0,,,,,Diamond stones,"Rishi FIBC, Balasinor"
Airona Tiles,GM,26-Apr,Gujarat,5.05,3.96,867390,738840,719220,705450,-2.66%,22.82%,29.11%,193,178,-7.60%,79.90%,99.90%,97.70%,24682,634,,,,,Airona Tiles,"Saanika Industries, Bharuch"
Airolam Ltd.,GM,26-Apr,Gujarat,2.53,1.76,420630,357450,357039,351340,-0.11%,22.66%,32.51%,193,179,-7.10%,78.80%,99.90%,97.50%,13244,142,,,,,Airolam Ltd.,"SS Flour Mills, Akola"
Advatech Cera,GM,26-Apr,Gujarat,3.03,2.2,504990,429420,432816,423030,0.79%,22.86%,31.53%,193,180,-6.90%,79.40%,100.00%,98.00%,12637,0,,,,,Advatech Cera,Sumati Spintex
BPCL,GM,26-Apr,MP,18,14,2275650,2139780,2390897,2352100,11.74%,21.29%,27.37%,168,164,-2.80%,81.10%,100.00%,100.00%,0,0,,,,,BPCL,Tulsi Industries
GSECL_ Vitthalpar,GM,26-Apr,Gujarat,19.21,15,2934300,2166071,2281890,2218860,5.35%,21.52%,27.56%,154,153,-0.90%,77.90%,100.00%,93.30%,254090,0,,,,,GSECL_ Vitthalpar,Tulsi Udyog
GSECL_Jambudiya,GM,26-Apr,Gujarat,14.3,11,2255280,1601547,1760701,1703700,9.94%,22.31%,29.00%,155,156,0.80%,79.00%,100.00%,94.00%,167381,0,,,,,GSECL_Jambudiya,Val Organics
Prince,GM,26-Apr,Gujarat,4.81,3.85,823200,601710,728251,713450,18.57%,21.03%,26.27%,195,181,-6.90%,83.50%,100.00%,98.40%,12621,1048,,,,,Prince,"ZEIT - 1, Akola"
Vivekanand,GM,26-Apr,Gujarat,4.03,3.15,628481,577704,561839,552440,-4.37%,19.34%,24.77%,191,173,-9.20%,80.50%,100.00%,98.10%,28227,0,,,,,Vivekanand,"ZEIT - 2, Akola"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
